d_code;d_name;s_name;s_value
111;Fracture of the hand;Hand or finger swelling;39
111;Fracture of the hand;Arm pain;23
111;Fracture of the hand;Wrist swelling;12
111;Fracture of the hand;Arm stiffness or tightness;4
111;Fracture of the hand;Arm swelling;4
111;Fracture of the hand;Hand or finger stiffness or tightness;3
111;Fracture of the hand;Wrist stiffness or tightness;2
112;Cellulitis or abscess of mouth;Lip swelling;87
112;Cellulitis or abscess of mouth;Sore throat;42
112;Cellulitis or abscess of mouth;Toothache;40
112;Cellulitis or abscess of mouth;Abnormal appearing skin;26
112;Cellulitis or abscess of mouth;Skin lesion;26
112;Cellulitis or abscess of mouth;Difficulty in swallowing;23
112;Cellulitis or abscess of mouth;Acne or pimples;19
112;Cellulitis or abscess of mouth;Dry lips;19
112;Cellulitis or abscess of mouth;Facial pain;19
112;Cellulitis or abscess of mouth;Mouth ulcer;19
112;Cellulitis or abscess of mouth;Throat swelling;19
112;Cellulitis or abscess of mouth;Skin growth;15
25;Eye alignment disorder;Eye deviation;41
25;Eye alignment disorder;Diminished vision;39
25;Eye alignment disorder;Double vision;36
25;Eye alignment disorder;Cross-eyed;35
25;Eye alignment disorder;Symptoms of eye;28
25;Eye alignment disorder;Pain in eye;14
25;Eye alignment disorder;Eye moves abnormally;11
25;Eye alignment disorder;Abnormal movement of eyelid;6
25;Eye alignment disorder;Foreign body sensation in eye;6
25;Eye alignment disorder;Lack of growth;6
25;Eye alignment disorder;Irregular appearing scalp;3
25;Eye alignment disorder;Swollen lymph nodes;3
26;Headache after lumbar puncture;Headache;98
26;Headache after lumbar puncture;Nausea;65
26;Headache after lumbar puncture;Back pain;65
26;Headache after lumbar puncture;Vomiting;56
26;Headache after lumbar puncture;Dizziness;47
26;Headache after lumbar puncture;Neck pain;34
26;Headache after lumbar puncture;Low back pain;25
26;Headache after lumbar puncture;Pain of the anus;14
26;Headache after lumbar puncture;Pain during pregnancy;14
26;Headache after lumbar puncture;Painful urination;14
26;Headache after lumbar puncture;Pelvic pain;14
26;Headache after lumbar puncture;Impotence;14
27;Pyloric stenosis;Vomiting;84
27;Pyloric stenosis;Sharp abdominal pain;35
27;Pyloric stenosis;Infant spitting up;35
27;Pyloric stenosis;Vomiting blood;35
27;Pyloric stenosis;Cough;35
27;Pyloric stenosis;Arm stiffness or tightness;21
27;Pyloric stenosis;Regurgitation;21
27;Pyloric stenosis;Burning abdominal pain;21
27;Pyloric stenosis;Restlessness;21
27;Pyloric stenosis;Pain during pregnancy;21
27;Pyloric stenosis;Symptoms of infants;21
27;Pyloric stenosis;Wheezing;21
28;Salivary gland disorder;Sore throat;44
28;Salivary gland disorder;Peripheral edema;44
28;Salivary gland disorder;Neck mass;35
28;Salivary gland disorder;Ear pain;35
28;Salivary gland disorder;Swollen lymph nodes;35
28;Salivary gland disorder;Throat feels tight;30
28;Salivary gland disorder;Facial pain;30
28;Salivary gland disorder;Skin swelling;24
28;Salivary gland disorder;Jaw swelling;24
28;Salivary gland disorder;Cough;24
28;Salivary gland disorder;Mouth dryness;24
28;Salivary gland disorder;Neck swelling;24
29;Osteochondrosis;Knee pain;84
29;Osteochondrosis;Foot or toe pain;68
29;Osteochondrosis;Bowlegged or knock-kneed;40
29;Osteochondrosis;Ankle pain;35
29;Osteochondrosis;Bones are painful;21
29;Osteochondrosis;Knee weakness;21
29;Osteochondrosis;Hand or finger pain;21
29;Osteochondrosis;Elbow pain;12
29;Osteochondrosis;Knee swelling;12
29;Osteochondrosis;Skin moles;12
29;Osteochondrosis;Knee lump or mass;12
29;Osteochondrosis;Weight gain;12
30;Injury to the knee;Knee pain;94
30;Injury to the knee;Knee swelling;30
30;Injury to the knee;Leg pain;30
30;Injury to the knee;Problems with movement;19
30;Injury to the knee;Knee stiffness or tightness;11
30;Injury to the knee;Leg swelling;11
30;Injury to the knee;Knee weakness;11
30;Injury to the knee;Foot or toe swelling;6
30;Injury to the knee;Heartburn;6
30;Injury to the knee;Smoking problems;6
31;Metabolic disorder;Weight gain;18
31;Metabolic disorder;Jaundice;4
31;Metabolic disorder;Mouth dryness;4
31;Metabolic disorder;Muscle pain;4
31;Metabolic disorder;Smoking problems;3
31;Metabolic disorder;Infant feeding problem;1
31;Metabolic disorder;Recent weight loss;1
31;Metabolic disorder;Problems with shape or size of breast;1
31;Metabolic disorder;Arm stiffness or tightness;1
31;Metabolic disorder;Underweight;1
31;Metabolic disorder;Difficulty eating;1
31;Metabolic disorder;Scanty menstrual flow;1
32;Vaginitis;Vaginal discharge;78
32;Vaginitis;Vaginal itching;59
32;Vaginitis;Sharp abdominal pain;49
32;Vaginitis;Painful urination;40
32;Vaginitis;Vaginal pain;29
32;Vaginitis;Lower abdominal pain;26
32;Vaginitis;Pelvic pain;23
32;Vaginitis;Vaginal redness;19
32;Vaginitis;Suprapubic pain;16
32;Vaginitis;Pain during pregnancy;12
32;Vaginitis;Vulvar irritation;10
32;Vaginitis;Pain during intercourse;10
33;Sick sinus syndrome;Dizziness;37
33;Sick sinus syndrome;Sharp chest pain;35
33;Sick sinus syndrome;Shortness of breath;35
33;Sick sinus syndrome;Palpitations;33
33;Sick sinus syndrome;Fainting;26
33;Sick sinus syndrome;Weakness;23
33;Sick sinus syndrome;Irregular heartbeat;12
33;Sick sinus syndrome;Decreased heart rate;8
33;Sick sinus syndrome;Increased heart rate;4
33;Sick sinus syndrome;Bleeding or discharge from nipple;4
34;Tinnitus of unknown cause;Ringing in ear;91
34;Tinnitus of unknown cause;Diminished hearing;69
34;Tinnitus of unknown cause;Dizziness;60
34;Tinnitus of unknown cause;Ear pain;41
34;Tinnitus of unknown cause;Headache;37
34;Tinnitus of unknown cause;Plugged feeling in ear;34
34;Tinnitus of unknown cause;Itchy ear(s);9
34;Tinnitus of unknown cause;Frontal headache;9
34;Tinnitus of unknown cause;Symptoms of eye;6
34;Tinnitus of unknown cause;Hoarse voice;6
34;Tinnitus of unknown cause;Fluid in ear;6
34;Tinnitus of unknown cause;Neck stiffness or tightness;6
35;Glaucoma;Diminished vision;46
35;Glaucoma;Pain in eye;32
35;Glaucoma;Symptoms of eye;26
35;Glaucoma;Spots or clouds in vision;19
35;Glaucoma;Eye redness;16
35;Glaucoma;Lacrimation;13
35;Glaucoma;Itchiness of eye;8
35;Glaucoma;Blindness;8
35;Glaucoma;Eye burns or stings;5
35;Glaucoma;Foreign body sensation in eye;5
35;Glaucoma;Itchy eyelid;1
35;Glaucoma;Feeling cold;1
36;Eating disorder;Depression;63
36;Eating disorder;Anxiety and nervousness;51
36;Eating disorder;Depressive or psychotic symptoms;43
36;Eating disorder;Decreased appetite;41
36;Eating disorder;Abusing alcohol;24
36;Eating disorder;Excessive appetite;24
36;Eating disorder;Difficulty eating;20
36;Eating disorder;Weight gain;17
36;Eating disorder;Excessive anger;13
36;Eating disorder;Insomnia;13
36;Eating disorder;Vomiting blood;9
36;Eating disorder;Acne or pimples;9
37;Transient ischemic attack;Loss of sensation;62
37;Transient ischemic attack;Dizziness;53
37;Transient ischemic attack;Headache;51
37;Transient ischemic attack;Weakness;46
37;Transient ischemic attack;Focal weakness;40
37;Transient ischemic attack;Slurring words;40
37;Transient ischemic attack;Difficulty speaking;33
37;Transient ischemic attack;Symptoms of the face;31
37;Transient ischemic attack;Depressive or psychotic symptoms;29
37;Transient ischemic attack;Diminished vision;29
37;Transient ischemic attack;Disturbance of memory;25
37;Transient ischemic attack;Paresthesia;24
38;Pyelonephritis;Side pain;75
38;Pyelonephritis;Fever;70
38;Pyelonephritis;Sharp abdominal pain;70
38;Pyelonephritis;Back pain;68
38;Pyelonephritis;Vomiting;57
38;Pyelonephritis;Nausea;56
38;Pyelonephritis;Painful urination;52
38;Pyelonephritis;Low back pain;40
38;Pyelonephritis;Lower abdominal pain;32
38;Pyelonephritis;Blood in urine;30
38;Pyelonephritis;Suprapubic pain;29
38;Pyelonephritis;Frequent urination;28
39;Rotator cuff injury;Shoulder pain;94
39;Rotator cuff injury;Arm pain;31
39;Rotator cuff injury;Shoulder stiffness or tightness;18
39;Rotator cuff injury;Shoulder weakness;9
39;Rotator cuff injury;Arm cramps or spasms;4
39;Rotator cuff injury;Arm stiffness or tightness;4
39;Rotator cuff injury;Neck stiffness or tightness;4
39;Rotator cuff injury;Hand or finger stiffness or tightness;2
39;Rotator cuff injury;Shoulder swelling;2
39;Rotator cuff injury;Tongue lesions;2
39;Rotator cuff injury;Leg cramps or spasms;2
39;Rotator cuff injury;Abnormal appearing tongue;2
40;Chronic pain disorder;Back pain;76
40;Chronic pain disorder;Low back pain;63
40;Chronic pain disorder;Ache all over;48
40;Chronic pain disorder;Leg pain;41
40;Chronic pain disorder;Neck pain;41
40;Chronic pain disorder;Headache;37
40;Chronic pain disorder;Sharp abdominal pain;34
40;Chronic pain disorder;Shoulder pain;28
40;Chronic pain disorder;Knee pain;26
40;Chronic pain disorder;Hip pain;23
40;Chronic pain disorder;Pelvic pain;8
40;Chronic pain disorder;Lower body pain;8
41;Problem during pregnancy;Sharp abdominal pain;76
41;Problem during pregnancy;Pain during pregnancy;75
41;Problem during pregnancy;Problems during pregnancy;49
41;Problem during pregnancy;Lower abdominal pain;39
41;Problem during pregnancy;Spotting or bleeding during pregnancy;36
41;Problem during pregnancy;Nausea;32
41;Problem during pregnancy;Headache;31
41;Problem during pregnancy;Back pain;30
41;Problem during pregnancy;Vomiting;28
41;Problem during pregnancy;Burning abdominal pain;27
41;Problem during pregnancy;Pelvic pain;27
41;Problem during pregnancy;Cramps and spasms;21
42;Liver cancer;Sharp abdominal pain;33
42;Liver cancer;Upper abdominal pain;31
42;Liver cancer;Stomach bloating;13
42;Liver cancer;Changes in stool appearance;9
42;Liver cancer;Decreased appetite;9
42;Liver cancer;Unusual color or odor to urine;5
42;Liver cancer;Increased heart rate;5
42;Liver cancer;Kidney mass;5
42;Liver cancer;Swollen abdomen;5
42;Liver cancer;Symptoms of prostate;5
42;Liver cancer;Leg stiffness or tightness;5
42;Liver cancer;Groin mass;5
43;Atelectasis;Cough;64
43;Atelectasis;Shortness of breath;61
43;Atelectasis;Sharp chest pain;53
43;Atelectasis;Fever;42
43;Atelectasis;Nasal congestion;42
43;Atelectasis;Dizziness;42
43;Atelectasis;Sore throat;35
43;Atelectasis;Sharp abdominal pain;35
43;Atelectasis;Difficulty breathing;26
43;Atelectasis;Rib pain;26
43;Atelectasis;Ache all over;26
43;Atelectasis;Headache;26
44;Injury to the hand;Hand or finger pain;82
44;Injury to the hand;Hand or finger swelling;47
44;Injury to the hand;Wrist pain;34
44;Injury to the hand;Hand or finger stiffness or tightness;27
44;Injury to the hand;Joint pain;15
44;Injury to the hand;Skin growth;12
44;Injury to the hand;Muscle stiffness or tightness;4
44;Injury to the hand;Pallor;4
44;Injury to the hand;Focal weakness;4
44;Injury to the hand;Symptoms of the face;4
44;Injury to the hand;Wrist swelling;4
44;Injury to the hand;Hand or finger lump or mass;4
45;Choledocholithiasis;Sharp abdominal pain;83
45;Choledocholithiasis;Upper abdominal pain;59
45;Choledocholithiasis;Vomiting;57
45;Choledocholithiasis;Nausea;52
45;Choledocholithiasis;Sharp chest pain;42
45;Choledocholithiasis;Back pain;29
45;Choledocholithiasis;Diarrhea;29
45;Choledocholithiasis;Jaundice;29
45;Choledocholithiasis;Side pain;23
45;Choledocholithiasis;Chills;17
45;Choledocholithiasis;Unusual color or odor to urine;9
45;Choledocholithiasis;Decreased appetite;9
46;Injury to the hip;Hip pain;84
46;Injury to the hip;Leg pain;45
46;Injury to the hip;Neck pain;28
46;Injury to the hip;Groin pain;28
46;Injury to the hip;Lower body pain;17
46;Injury to the hip;Hand or finger swelling;17
46;Injury to the hip;Peripheral edema;17
46;Injury to the hip;Leg swelling;17
46;Injury to the hip;Problems with movement;17
47;Cirrhosis;Sharp abdominal pain;39
47;Cirrhosis;Shortness of breath;30
47;Cirrhosis;Peripheral edema;24
47;Cirrhosis;Fatigue;20
47;Cirrhosis;Upper abdominal pain;20
47;Cirrhosis;Abdominal distention;16
47;Cirrhosis;Stomach bloating;10
47;Cirrhosis;Blood in stool;10
47;Cirrhosis;Regurgitation;8
47;Cirrhosis;Symptoms of the kidneys;5
47;Cirrhosis;Vomiting blood;5
47;Cirrhosis;Melena;5
48;Thoracic aortic aneurysm;Sharp chest pain;68
48;Thoracic aortic aneurysm;Dizziness;42
48;Thoracic aortic aneurysm;Back pain;38
48;Thoracic aortic aneurysm;Shortness of breath;38
48;Thoracic aortic aneurysm;Sharp abdominal pain;29
48;Thoracic aortic aneurysm;Fatigue;23
48;Thoracic aortic aneurysm;Chest tightness;17
48;Thoracic aortic aneurysm;Unusual color or odor to urine;9
48;Thoracic aortic aneurysm;Flushing;9
48;Thoracic aortic aneurysm;Leg cramps or spasms;9
48;Thoracic aortic aneurysm;Coughing up sputum;9
48;Thoracic aortic aneurysm;Jaundice;9
49;Subdural hemorrhage;Headache;67
49;Subdural hemorrhage;Dizziness;36
49;Subdural hemorrhage;Problems with movement;36
49;Subdural hemorrhage;Depressive or psychotic symptoms;28
49;Subdural hemorrhage;Seizures;24
49;Subdural hemorrhage;Vomiting;24
49;Subdural hemorrhage;Facial pain;14
49;Subdural hemorrhage;Disturbance of memory;14
49;Subdural hemorrhage;Irritable infant;7
49;Subdural hemorrhage;Abnormal movement of eyelid;7
49;Subdural hemorrhage;Hostile behavior;7
49;Subdural hemorrhage;Delusions or hallucinations;7
50;Congenital rubella;Pain in eye;91
50;Congenital rubella;Shoulder cramps or spasms;91
50;Congenital rubella;Facial pain;91
50;Congenital rubella;Ankle pain;91
50;Congenital rubella;Wrist pain;91
50;Congenital rubella;Pain during pregnancy;91
50;Congenital rubella;Excessive anger;91
50;Congenital rubella;Joint stiffness or tightness;91
50;Congenital rubella;Pain or soreness of breast;91
50;Congenital rubella;Knee lump or mass;91
50;Congenital rubella;Fatigue;91
50;Congenital rubella;Excessive urination at night;91
51;Diabetic retinopathy;Diminished vision;71
51;Diabetic retinopathy;Spots or clouds in vision;33
51;Diabetic retinopathy;Pain in eye;25
51;Diabetic retinopathy;Lacrimation;22
51;Diabetic retinopathy;Symptoms of eye;21
51;Diabetic retinopathy;Eye redness;11
51;Diabetic retinopathy;Foreign body sensation in eye;11
51;Diabetic retinopathy;Itchiness of eye;8
51;Diabetic retinopathy;Blindness;7
51;Diabetic retinopathy;Bleeding from eye;7
51;Diabetic retinopathy;Abnormal movement of eyelid;7
51;Diabetic retinopathy;Double vision;4
52;Fibromyalgia;Back pain;59
52;Fibromyalgia;Ache all over;54
52;Fibromyalgia;Neck pain;53
52;Fibromyalgia;Muscle pain;48
52;Fibromyalgia;Leg pain;44
52;Fibromyalgia;Headache;40
52;Fibromyalgia;Shoulder pain;39
52;Fibromyalgia;Low back pain;39
52;Fibromyalgia;Sharp chest pain;34
52;Fibromyalgia;Arm pain;26
52;Fibromyalgia;Hip pain;21
52;Fibromyalgia;Fatigue;21
53;Ischemia of the bowel;Sharp abdominal pain;84
53;Ischemia of the bowel;Vomiting;62
53;Ischemia of the bowel;Diarrhea;62
53;Ischemia of the bowel;Nausea;49
53;Ischemia of the bowel;Rectal bleeding;49
53;Ischemia of the bowel;Blood in stool;43
53;Ischemia of the bowel;Lower abdominal pain;43
53;Ischemia of the bowel;Constipation;36
53;Ischemia of the bowel;Melena;27
53;Ischemia of the bowel;Burning abdominal pain;27
53;Ischemia of the bowel;Chills;16
53;Ischemia of the bowel;Retention of urine;16
54;Fetal alcohol syndrome;Excessive anger;58
54;Fetal alcohol syndrome;Temper problems;58
54;Fetal alcohol syndrome;Lack of growth;40
54;Fetal alcohol syndrome;Eye redness;40
54;Fetal alcohol syndrome;Depressive or psychotic symptoms;40
54;Fetal alcohol syndrome;Hostile behavior;40
54;Fetal alcohol syndrome;Smoking problems;40
54;Fetal alcohol syndrome;Seizures;40
54;Fetal alcohol syndrome;Coryza;40
54;Fetal alcohol syndrome;Wrist weakness;3
54;Fetal alcohol syndrome;Eye strain;3
54;Fetal alcohol syndrome;Emotional symptoms;3
55;Peritonitis;Sharp abdominal pain;87
55;Peritonitis;Nausea;56
55;Peritonitis;Vomiting;48
55;Peritonitis;Back pain;31
55;Peritonitis;Fever;31
55;Peritonitis;Shortness of breath;26
55;Peritonitis;Lower abdominal pain;26
55;Peritonitis;Upper abdominal pain;21
55;Peritonitis;Side pain;21
55;Peritonitis;Groin mass;15
55;Peritonitis;Intermenstrual bleeding;8
55;Peritonitis;Groin pain;8
56;Injury to the abdomen;Sharp abdominal pain;68
56;Injury to the abdomen;Sharp chest pain;59
56;Injury to the abdomen;Back pain;45
56;Injury to the abdomen;Burning abdominal pain;45
56;Injury to the abdomen;Upper abdominal pain;45
56;Injury to the abdomen;Lower abdominal pain;35
56;Injury to the abdomen;Leg pain;35
56;Injury to the abdomen;Neck pain;35
56;Injury to the abdomen;Pain during pregnancy;35
56;Injury to the abdomen;Side pain;35
56;Injury to the abdomen;Problems during pregnancy;21
56;Injury to the abdomen;Blood in urine;21
57;Acute pancreatitis;Sharp abdominal pain;89
57;Acute pancreatitis;Vomiting;72
57;Acute pancreatitis;Nausea;65
57;Acute pancreatitis;Upper abdominal pain;49
57;Acute pancreatitis;Diarrhea;38
57;Acute pancreatitis;Sharp chest pain;37
57;Acute pancreatitis;Burning abdominal pain;30
57;Acute pancreatitis;Back pain;25
57;Acute pancreatitis;Side pain;19
57;Acute pancreatitis;Abusing alcohol;14
57;Acute pancreatitis;Lower body pain;11
57;Acute pancreatitis;Hemoptysis;6
58;Thrombophlebitis;Leg pain;70
58;Thrombophlebitis;Leg swelling;40
58;Thrombophlebitis;Arm pain;31
58;Thrombophlebitis;Abnormal appearing skin;29
58;Thrombophlebitis;Arm swelling;29
58;Thrombophlebitis;Foot or toe pain;27
58;Thrombophlebitis;Ache all over;24
58;Thrombophlebitis;Lymphedema;22
58;Thrombophlebitis;Skin on leg or foot looks infected;14
58;Thrombophlebitis;Skin swelling;11
58;Thrombophlebitis;Leg cramps or spasms;11
58;Thrombophlebitis;Hand or finger swelling;11
59;Asthma;Cough;74
59;Asthma;Shortness of breath;61
59;Asthma;Wheezing;55
59;Asthma;Difficulty breathing;45
59;Asthma;Nasal congestion;39
59;Asthma;Fever;36
59;Asthma;Sharp chest pain;25
59;Asthma;Coryza;21
59;Asthma;Chest tightness;14
59;Asthma;Allergic reaction;11
59;Asthma;Coughing up sputum;8
59;Asthma;Congestion in chest;8
60;Foreign body in the vagina;Vaginal discharge;54
60;Foreign body in the vagina;Pelvic pain;22
60;Foreign body in the vagina;Painful urination;22
60;Foreign body in the vagina;Lower abdominal pain;22
60;Foreign body in the vagina;Skin lesion;22
60;Foreign body in the vagina;Back weakness;1
60;Foreign body in the vagina;Pus in sputum;1
60;Foreign body in the vagina;Emotional symptoms;1
60;Foreign body in the vagina;Muscle swelling;1
60;Foreign body in the vagina;Pus in urine;1
60;Foreign body in the vagina;Abnormal size or shape of ear;1
60;Foreign body in the vagina;Low back weakness;1
61;Restless leg syndrome;Abnormal involuntary movements;77
61;Restless leg syndrome;Leg pain;49
61;Restless leg syndrome;Headache;39
61;Restless leg syndrome;Sleepiness;37
61;Restless leg syndrome;Apnea;33
61;Restless leg syndrome;Fatigue;32
61;Restless leg syndrome;Abnormal breathing sounds;32
61;Restless leg syndrome;Depression;29
61;Restless leg syndrome;Back pain;25
61;Restless leg syndrome;Difficulty breathing;25
61;Restless leg syndrome;Loss of sensation;25
61;Restless leg syndrome;Insomnia;25
62;Emphysema;Sharp chest pain;89
62;Emphysema;Shortness of breath;69
62;Emphysema;Chest tightness;69
62;Emphysema;Cough;51
62;Emphysema;Nausea;51
62;Emphysema;Ache all over;51
62;Emphysema;Back pain;51
62;Emphysema;Cross-eyed;4
62;Emphysema;Itchy eyelid;4
62;Emphysema;Excessive growth;4
62;Emphysema;Emotional symptoms;4
62;Emphysema;Elbow cramps or spasms;4
63;Cysticercosis;Seizures;90
63;Cysticercosis;Headache;87
63;Cysticercosis;Vomiting;43
63;Cysticercosis;Shortness of breath;43
63;Cysticercosis;Abnormal involuntary movements;43
63;Cysticercosis;Elbow cramps or spasms;3
63;Cysticercosis;Elbow weakness;3
63;Cysticercosis;Excessive growth;3
63;Cysticercosis;Underweight;3
63;Cysticercosis;Low back weakness;3
63;Cysticercosis;Wrist weakness;3
63;Cysticercosis;Feeling hot and cold;3
64;Induced abortion;Spotting or bleeding during pregnancy;67
64;Induced abortion;Sharp abdominal pain;59
64;Induced abortion;Pain during pregnancy;54
64;Induced abortion;Cramps and spasms;38
64;Induced abortion;Lower abdominal pain;31
64;Induced abortion;Pelvic pain;27
64;Induced abortion;Problems during pregnancy;27
64;Induced abortion;Intermenstrual bleeding;27
64;Induced abortion;Vaginal discharge;13
64;Induced abortion;Blood clots during menstrual periods;7
64;Induced abortion;Groin pain;7
64;Induced abortion;Absence of menstruation;7
65;Teething syndrome;Fever;82
65;Teething syndrome;Pulling at ears;65
65;Teething syndrome;Cough;65
65;Teething syndrome;Irritable infant;65
65;Teething syndrome;Nasal congestion;63
65;Teething syndrome;Diarrhea;46
65;Teething syndrome;Ear pain;40
65;Teething syndrome;Gum pain;40
65;Teething syndrome;Symptoms of infants;38
65;Teething syndrome;Temper problems;34
65;Teething syndrome;Redness in ear;27
65;Teething syndrome;Decreased appetite;23
66;Infectious gastroenteritis;Vomiting;91
66;Infectious gastroenteritis;Diarrhea;89
66;Infectious gastroenteritis;Nausea;72
66;Infectious gastroenteritis;Sharp abdominal pain;68
66;Infectious gastroenteritis;Fever;62
66;Infectious gastroenteritis;Burning abdominal pain;38
66;Infectious gastroenteritis;Headache;24
66;Infectious gastroenteritis;Blood in stool;21
66;Infectious gastroenteritis;Decreased appetite;16
66;Infectious gastroenteritis;Chills;13
66;Infectious gastroenteritis;Fluid retention;12
66;Infectious gastroenteritis;Flu-like syndrome;11
67;Acute sinusitis;Cough;81
67;Acute sinusitis;Nasal congestion;75
67;Acute sinusitis;Sore throat;66
67;Acute sinusitis;Headache;66
67;Acute sinusitis;Frontal headache;56
67;Acute sinusitis;Coryza;52
67;Acute sinusitis;Fever;51
67;Acute sinusitis;Ear pain;49
67;Acute sinusitis;Sinus congestion;37
67;Acute sinusitis;Painful sinuses;29
67;Acute sinusitis;Facial pain;26
67;Acute sinusitis;Coughing up sputum;23
68;Von Hippel-Lindau disease;Seizures;49
68;Von Hippel-Lindau disease;Upper abdominal pain;32
68;Von Hippel-Lindau disease;Excessive growth;32
68;Von Hippel-Lindau disease;Abnormal appearing skin;32
68;Von Hippel-Lindau disease;Headache;32
68;Von Hippel-Lindau disease;Blood in urine;32
68;Von Hippel-Lindau disease;Paresthesia;32
68;Von Hippel-Lindau disease;Diminished vision;32
68;Von Hippel-Lindau disease;Knee pain;32
68;Von Hippel-Lindau disease;Fatigue;32
68;Von Hippel-Lindau disease;Nausea;32
68;Von Hippel-Lindau disease;Kidney mass;32
69;Substance-related mental disorder;Depressive or psychotic symptoms;83
69;Substance-related mental disorder;Delusions or hallucinations;58
69;Substance-related mental disorder;Depression;52
69;Substance-related mental disorder;Anxiety and nervousness;52
69;Substance-related mental disorder;Drug abuse;46
69;Substance-related mental disorder;Abusing alcohol;23
69;Substance-related mental disorder;Insomnia;23
69;Substance-related mental disorder;Feeling ill;18
69;Substance-related mental disorder;Excessive anger;13
69;Substance-related mental disorder;Problems with movement;13
69;Substance-related mental disorder;Hostile behavior;13
69;Substance-related mental disorder;Fears and phobias;13
70;Postpartum depression;Depression;57
70;Postpartum depression;Recent pregnancy;33
70;Postpartum depression;Problems during pregnancy;33
70;Postpartum depression;Anxiety and nervousness;30
70;Postpartum depression;Pain during pregnancy;25
70;Postpartum depression;Depressive or psychotic symptoms;24
70;Postpartum depression;Drug abuse;12
70;Postpartum depression;Spotting or bleeding during pregnancy;12
70;Postpartum depression;Uterine contractions;10
70;Postpartum depression;Delusions or hallucinations;10
70;Postpartum depression;Intermenstrual bleeding;5
70;Postpartum depression;Excessive anger;3
71;Coronary atherosclerosis;Sharp chest pain;55
71;Coronary atherosclerosis;Shortness of breath;41
71;Coronary atherosclerosis;Fatigue;20
71;Coronary atherosclerosis;Chest tightness;18
71;Coronary atherosclerosis;Palpitations;12
71;Coronary atherosclerosis;Irregular heartbeat;5
71;Coronary atherosclerosis;Lymphedema;5
71;Coronary atherosclerosis;Leg cramps or spasms;3
71;Coronary atherosclerosis;Burning chest pain;2
72;Spondylitis;Back pain;88
72;Spondylitis;Low back pain;83
72;Spondylitis;Leg pain;47
72;Spondylitis;Neck pain;45
72;Spondylitis;Hip pain;29
72;Spondylitis;Side pain;21
